KMP algorithm First Binary 0 ? replaces;KMP algorithm First Binary 1 ? replaces;KMP algorithm First Binary 2 ? replaces;KMP algorithm First Binary 3 ? replaces;KMP algorithm First Binary 4 ? replaces;KMP algorithm First DNA 0 ? replaces;KMP algorithm First DNA 1 ? replaces;KMP algorithm First DNA 2 ? replaces;KMP algorithm First DNA 3 ? replaces;KMP algorithm First DNA 4 ? replaces;KMP algorithm Second Binary 0 ? replaces;KMP algorithm Second Binary 1 ? replaces;KMP algorithm Second Binary 2 ? replaces;KMP algorithm Second Binary 3 ? replaces;KMP algorithm Second Binary 4 ? replaces;KMP algorithm Second DNA 0 ? replaces;KMP algorithm Second DNA 1 ? replaces;KMP algorithm Second DNA 2 ? replaces;KMP algorithm Second DNA 3 ? replaces;KMP algorithm Second DNA 4 ? replaces;Naive algorithm First Binary 0 ? replaces;Naive algorithm First Binary 1 ? replaces;Naive algorithm First Binary 2 ? replaces;Naive algorithm First Binary 3 ? replaces;Naive algorithm First Binary 4 ? replaces;Naive algorithm First DNA 0 ? replaces;Naive algorithm First DNA 1 ? replaces;Naive algorithm First DNA 2 ? replaces;Naive algorithm First DNA 3 ? replaces;Naive algorithm First DNA 4 ? replaces;Naive algorithm Second Binary 0 ? replaces;Naive algorithm Second Binary 1 ? replaces;Naive algorithm Second Binary 2 ? replaces;Naive algorithm Second Binary 3 ? replaces;Naive algorithm Second Binary 4 ? replaces;Naive algorithm Second DNA 0 ? replaces;Naive algorithm Second DNA 1 ? replaces;Naive algorithm Second DNA 2 ? replaces;Naive algorithm Second DNA 3 ? replaces;Naive algorithm Second DNA 4 ? replaces;Optimized KMP algorithm First Binary 0 ? replaces;Optimized KMP algorithm First Binary 1 ? replaces;Optimized KMP algorithm First Binary 2 ? replaces;Optimized KMP algorithm First Binary 3 ? replaces;Optimized KMP algorithm First Binary 4 ? replaces;Optimized KMP algorithm First DNA 0 ? replaces;Optimized KMP algorithm First DNA 1 ? replaces;Optimized KMP algorithm First DNA 2 ? replaces;Optimized KMP algorithm First DNA 3 ? replaces;Optimized KMP algorithm First DNA 4 ? replaces;Optimized KMP algorithm Second Binary 0 ? replaces;Optimized KMP algorithm Second Binary 1 ? replaces;Optimized KMP algorithm Second Binary 2 ? replaces;Optimized KMP algorithm Second Binary 3 ? replaces;Optimized KMP algorithm Second Binary 4 ? replaces;Optimized KMP algorithm Second DNA 0 ? replaces;Optimized KMP algorithm Second DNA 1 ? replaces;Optimized KMP algorithm Second DNA 2 ? replaces;Optimized KMP algorithm Second DNA 3 ? replaces;Optimized KMP algorithm Second DNA 4 ? replaces;Template size;
123581;123822;123601;124375;123888;86543;85027;86650;86051;85939;1206896;1195427;1666652;1194623;1186145;919429;958458;988687;933355;934492;187637;182789;178621;180290;179281;134952;130216;139852;185441;128261;1832473;1834485;1836861;1826406;1824276;1422796;1398164;1389547;1497425;1963427;107130;107151;107683;107038;107223;67118;66191;66129;66165;73267;1026047;1027256;1018035;1009377;1021491;769576;775152;707696;762224;697466;100;
126351;124897;125214;124912;125194;86517;86128;85570;86533;86599;1186365;1188910;1221130;1192893;1192023;932869;936806;927088;939141;956805;186460;182589;180392;180915;180648;129187;128471;139407;135546;130892;1832524;1867463;1893191;1831741;1833528;1398650;1396433;1396823;1392056;1399183;108994;109286;109931;110259;110228;68085;68080;68910;72898;68055;1016089;1008844;1008107;1013539;1044295;769950;763530;763601;773888;762378;200;
125777;125824;125721;125982;126187;86773;87249;88135;86717;87572;1189109;1191137;1198827;1199713;1208212;937845;937717;939494;1032064;936294;179169;178821;178826;178887;179128;129694;130508;129607;130191;130119;1832161;1832570;1837122;1832396;1831239;1394769;1386480;1385006;1395937;1396157;112143;112343;112414;112768;112778;69847;70184;73466;69759;69857;1020692;1029370;1015275;1015270;1014927;768409;764907;771404;765496;771691;300;
127011;126914;127585;127032;127093;88637;88166;87485;90741;88125;1207193;1197890;1191162;1194967;1190568;938664;937436;936535;951925;951352;177361;177955;177459;177766;177966;128916;128936;129167;128967;129459;1829893;1841105;1818178;1835642;1819156;1395010;1394677;1394749;1413099;1394800;113791;114375;115061;115025;115450;72908;71797;71736;71705;73154;1033471;1023185;1017477;1020569;1011481;766387;766801;767436;766561;778577;400;
128245;128230;128035;128005;128076;88494;90265;89006;89287;92154;1204085;1210173;1204218;1189012;1201105;938823;938613;938644;937543;936535;176117;177715;176783;192066;176808;128235;128440;128819;128517;128353;1807953;1833226;1819335;1811768;1820968;1392174;1405788;1384657;1393116;1395742;118369;118287;117698;118691;117759;73661;73482;73605;75637;73533;1026631;1035832;1020139;1021455;1046225;771927;770339;769986;770283;768102;500;
129643;129157;129536;129704;129904;90050;90270;91694;91407;91509;1224391;1211504;1198223;1215518;1205304;933422;933739;1669688;921216;927907;175175;174730;175226;175426;175170;127907;126878;128926;127831;128952;1828654;1836226;1832217;1826124;1970416;1390504;1383925;1395123;1385856;1389137;118917;121656;121098;120739;120376;75468;75786;80650;75540;75525;1048529;1041448;1029355;1022965;1023918;770611;786114;775096;773427;772500;600;
130196;130355;130503;130560;130344;93183;91970;92723;93102;92395;1212477;1228354;1198694;1213137;1211432;922393;921943;924313;929279;919075;173583;174679;173552;173762;173982;125747;126740;126719;140226;126254;1830937;1806817;1927065;1822274;1825454;1392814;1377986;1381176;1375144;1389107;121236;123622;122926;120929;123038;77573;78085;77445;81981;78975;1041940;1031823;1024762;1035673;1034521;775628;775173;785715;790558;788167;700;
131563;131261;131159;131092;132080;92733;93189;91919;91663;92723;1202298;1193308;1207342;1197071;1193594;927278;933201;925675;922444;921902;172047;171878;172323;173921;179276;125199;125276;125506;125153;125767;1824230;1824752;1813826;1834833;1829109;1391549;1382840;1390202;1388856;1394319;124067;123996;125245;125711;123729;79784;79221;79134;80327;79093;1034588;1029442;1031577;1034091;1059491;789176;787123;774855;797378;790307;800;
132218;132392;132244;132392;132956;92963;93608;95482;93685;94453;1202795;1195770;1217018;1213194;1212968;927170;924124;959585;925834;937420;170455;170424;170531;170434;171310;124170;127544;123909;123991;124231;1827225;1821588;1821649;1825182;1822827;1390100;1378027;1389301;1387325;1375984;124323;125685;128307;123171;126494;81807;82124;81182;81162;81146;1056721;1054049;1047004;1031557;1034695;790671;792023;790630;792407;778332;900;
133821;133232;133411;133135;133263;95165;94940;93701;98647;107550;1203389;1235281;1214551;1215953;1195806;928471;928839;977464;937200;942940;169743;169707;169768;170004;169256;123243;123740;123228;123325;123499;1811829;1826053;1819883;1825285;1821762;1391319;1390074;1390950;1386393;1388748;124421;125511;127959;126417;158315;84705;83430;83184;87239;91386;1067863;1037235;1037608;1032744;1034004;782054;794798;779555;779970;782648;1000;
134364;134184;134215;134195;134384;95523;102737;98519;96952;96199;1202421;1196165;1197399;1199462;1223895;934645;938024;932213;964065;930570;168043;168284;167772;168120;168130;122347;122608;122941;122429;122101;1812884;1820641;1819504;1821465;1823744;1389573;1390561;1388247;1387366;1388769;128409;128455;129848;132976;130411;86881;86210;85365;86328;85212;1039175;1033395;1039749;1035868;1035750;781752;780881;784870;785602;785868;1100;
135290;135424;135142;135731;135285;96199;97126;96460;96773;97879;1208678;1198622;1208867;1196994;1207234;928087;929515;929464;942822;926433;166123;167726;166364;166405;166466;121671;121599;121876;121553;121666;1820666;1824450;1817937;1816366;1818086;1384499;1387852;1386286;1387622;1389762;130554;131409;132572;133790;133626;89799;86661;86645;87536;86645;1046548;1043553;1038407;1039912;1032944;786012;784906;782714;785751;831324;1200;
137559;136678;136714;136504;136637;98503;98191;102369;99824;99466;1217730;1212677;1198028;1198684;1213813;927590;930836;928348;930114;963860;164633;164515;164966;164899;164833;121456;121364;120591;121420;121062;1806095;1808547;1820026;1851202;1816396;1384673;1384442;1386859;1386659;1389347;133345;132433;135992;134753;138193;88637;89400;88412;88325;88309;1077514;1039851;1041126;1038269;1052149;794992;792447;784450;785131;787614;1300;
138142;137666;138009;137564;138224;100684;101012;101176;101611;100807;1219107;1216936;1207889;1214504;1205857;935551;930575;938378;929868;958167;163348;163338;163635;163379;163624;120755;119787;120601;120540;120130;1816360;1815290;1815188;1815557;1814814;1385907;1383142;1375359;1386552;1372226;133775;136780;136657;140282;138977;91381;90275;90183;93250;92103;1056230;1043804;1044986;1047285;1047705;788879;806558;801464;802268;786611;1400;
138603;139141;138874;138752;138757;102256;101867;101765;102922;102568;1220935;1210009;1207439;1204966;1198284;933954;934440;940569;930165;936688;162406;162334;162944;161996;162928;118814;119162;119147;118901;118952;1812505;1818106;1823918;1808619;1815951;1370030;1373470;1385308;1381422;1383546;136908;140200;139279;139499;143063;94965;95206;94243;94008;94581;1058831;1067351;1060741;1054520;1046737;794823;823500;812154;813967;805104;1500;
139545;139678;139694;139760;139970;102978;103239;103024;103797;103357;1202754;1200768;1257743;1221181;1210910;945566;948899;939064;954178;944593;160890;160696;160808;160527;160737;118323;117882;117780;117688;118568;1817902;1811107;1821045;1816750;1814620;1380659;1380971;1381667;1385108;1384862;137907;138306;144599;142950;143272;96896;95928;96645;95790;96081;1078748;1048391;1052236;1059481;1048407;806527;805811;806799;809057;808560;1600;
141132;140666;140979;140733;140794;101903;152038;102487;103895;102594;1204894;1236966;1206968;1228144;1215109;939151;945479;949094;959805;935255;159319;159119;158996;159129;159226;117524;117247;117427;117524;117401;1816104;1813432;1815516;1811148;1810636;1373639;1374054;1387120;1395031;1386434;139883;147010;144015;144778;145986;99066;98088;98380;98140;98119;1065313;1080857;1071257;1070336;1050813;808545;808540;810818;812170;809164;1700;
141532;142228;142233;142469;141982;103060;108093;103275;104401;103577;1208504;1200942;1203292;1203476;1208345;934087;965580;935336;939683;933350;157941;157665;158218;159032;157736;116357;116812;116828;115911;115788;1808926;1797652;1810631;1797207;1807313;1380505;1381816;1379220;1378165;1378201;176225;146544;148945;151613;151480;100828;101027;100131;98170;100377;1060203;1054054;1051627;1056665;1057771;812298;816296;812994;813173;811248;1800;
143528;143196;148531;142832;143324;104432;106004;104529;104990;105180;1207219;1202641;1203015;1203850;1222246;942202;944885;949877;958428;941864;156682;156462;156282;157194;156416;114631;115671;116177;115814;115691;1808875;1808235;1799664;1808179;1779655;1375708;1379020;1380080;1378703;1380592;144373;151219;147343;149713;150932;100756;101309;100423;100362;101038;1090099;1056153;1056880;1064197;1056711;810521;812595;816302;814428;812830;1900;
143887;143984;144276;144087;144404;105574;109849;107361;107632;108543;1213148;1225308;1209763;1213578;1206210;937036;940410;968540;935951;941747;155013;154854;154716;156190;155325;113812;114652;114314;113838;115128;1799587;1811916;1808670;1814190;1812858;1376588;1381017;1382574;1381027;1380587;147676;148008;155217;154030;154792;102927;102184;104340;102097;102220;1066122;1059952;1065144;1059840;1062543;807746;811171;802979;812072;801960;2000;
142515;143662;141992;143631;141977;106967;108083;106721;107120;107770;1204377;1203169;1210577;1240130;1206865;943984;938659;965995;934410;949667;153943;153676;153937;153671;153256;113085;113146;112194;114007;112798;1797063;1805660;1798896;1786352;1791969;1377146;1379404;1378027;1380367;1367797;148792;152668;154137;153820;157235;111016;104099;118021;106378;104279;1071831;1078384;1074800;1064755;1067345;799790;801459;807879;803379;802165;2100;
144337;143692;143984;143744;147061;107566;108979;108287;108344;109045;1205893;1224335;1227304;1212088;1227356;939555;938009;935879;980567;959175;152053;151879;151992;151874;152028;112030;111974;112087;112532;112583;1794155;1841904;1803509;1803473;1794785;1361208;1401569;1365283;1379932;1367669;152197;151854;156712;157752;158740;109035;108446;108805;108313;108405;1088604;1069071;1064857;1062814;1077212;817131;802775;806164;807505;803543;2200;
143861;159569;147701;147896;147123;108666;111472;110694;112184;112312;1212579;1247283;1228134;1218268;1210956;958382;945500;937758;938833;956953;150517;150620;150830;150625;150599;111395;111016;112015;111093;111672;1807662;1789583;1789905;1791175;1815654;1369169;1370147;1354357;1378969;1361996;153159;159477;154885;161187;161556;110607;110167;110597;110079;110750;1064002;1071278;1068119;1076095;1082265;804259;811238;811176;824709;818442;2300;
147973;147952;147952;148218;148177;112281;112752;112604;112803;113295;1239879;1215457;1207413;1207843;1211827;940446;946647;939054;939571;1713280;149340;149304;149488;149032;149719;110095;110632;110243;110433;110469;1799690;1786572;1800494;1781529;1814425;1376163;1357009;1390131;1370531;1378078;155499;162053;164807;175134;165606;113597;112168;112102;111969;112302;1077478;1083939;1074263;1065697;1081384;818805;820833;817024;811545;808765;2400;
149109;149611;148925;149375;149437;113121;113454;113295;114211;113587;1220213;1213880;1210204;1212779;1242286;944122;939796;943319;939033;948008;147671;148254;148428;148157;147906;109521;109347;109071;109701;108456;1801774;1829012;1804180;1798871;1798819;1359477;1374177;1376465;1354439;1353850;163512;158259;167992;166369;165181;115967;113745;112783;111820;111713;1065646;1070146;1072614;1075763;1086627;821340;806522;810808;808053;818078;2500;
150092;150128;150430;150154;150871;114570;114923;114698;117908;112588;1208115;1233131;1212753;1231431;1231948;948183;946580;938777;944522;943329;146196;147333;146170;147563;146298;108472;108707;108513;107852;108815;1786721;1799034;1798271;1797642;1800514;1367157;1373803;1355612;1369482;1365237;163916;163000;170516;165166;171448;115486;113745;114908;113346;113367;1064847;1078891;1071078;1074734;1077201;817433;812385;812605;812088;820751;2600;
151270;151633;150937;151459;151265;113694;116295;113397;115138;113341;1232686;1217172;1211279;1242214;1217239;952309;960962;959697;943400;950149;144824;145162;145008;145100;144757;107002;107438;107146;107356;107494;1796352;1796290;1796198;1788083;1790740;1368171;1369328;1369159;1372170;1359979;165836;172103;174540;177095;174929;117068;115507;119429;115502;116428;1073489;1076843;1080058;1079208;1109427;820807;853360;825855;828032;829086;2700;
152524;152212;151055;149882;155658;114334;115568;114268;122767;115107;1213829;1212078;1223613;1216040;1215498;967152;947624;957368;997698;1088573;143825;143708;143892;143436;144025;106465;106690;106444;105820;106757;1796336;1795322;1823088;1794606;1821015;1401927;1410222;1366097;1362549;1346595;168222;173762;176783;173112;177909;117800;117048;123407;117672;117463;1071969;1080074;1099463;1082833;1113789;816051;816645;831395;825712;815185;2800;
150814;150282;151178;154132;153041;115834;121169;116085;117519;116433;1211064;1237990;1215078;1215503;1215390;992855;998481;964935;965278;965934;142612;142382;142356;142520;142689;105697;105364;105840;105425;105512;1789583;1797452;1793715;1779322;1798722;1393766;1365114;1369410;1352939;1373450;169584;173839;176209;184668;174888;119930;118876;132055;122475;122757;1077580;1077135;1107051;1091978;1095843;817372;819138;817372;819389;825031;2900;
152724;156723;151895;152611;154588;117826;117591;116945;140564;117555;1275028;1213946;1217331;1213614;1213173;972672;968468;964423;1008680;965207;140456;141957;141189;140748;141045;104601;104453;104524;104837;104724;1792128;1818613;1790264;1791032;1785927;1364843;1347671;1362570;1355550;1367357;175800;196172;182732;186429;178984;124006;121154;121226;121251;123760;1094814;1089612;1090800;1093176;1089699;818073;822343;819604;820628;820152;3000;
